date_trunc,sum
8/31/2017 12:00 AM UTC,681950.67254
9/1/2017 12:00 AM UTC,218787.01
9/4/2017 12:00 AM UTC,213187.75
9/5/2017 12:00 AM UTC,156800.0
9/6/2017 12:00 AM UTC,3365980.0
9/7/2017 12:00 AM UTC,251804.438
9/8/2017 12:00 AM UTC,1954970.0725
9/9/2017 12:00 AM UTC,11079.3777
9/10/2017 12:00 AM UTC,
9/11/2017 12:00 AM UTC,292660.0
9/12/2017 12:00 AM UTC,1135144.59357
9/13/2017 12:00 AM UTC,2955866.0
9/14/2017 12:00 AM UTC,422763.80966
9/15/2017 12:00 AM UTC,132672.9626
9/16/2017 12:00 AM UTC,57174.306
9/17/2017 12:00 AM UTC,
9/18/2017 12:00 AM UTC,125040.0
9/19/2017 12:00 AM UTC,5156051.32
9/20/2017 12:00 AM UTC,212030.0
9/21/2017 12:00 AM UTC,2646673.6162
9/22/2017 12:00 AM UTC,30450.0
9/24/2017 12:00 AM UTC,
9/25/2017 12:00 AM UTC,38718.6162
9/26/2017 12:00 AM UTC,6723321.679
9/27/2017 12:00 AM UTC,344887.0
9/28/2017 12:00 AM UTC,4418814.8871
9/29/2017 12:00 AM UTC,502380.328
10/2/2017 12:00 AM UTC,
10/3/2017 12:00 AM UTC,444797.2773
10/4/2017 12:00 AM UTC,564812.5
10/5/2017 12:00 AM UTC,1291050.16508
10/6/2017 12:00 AM UTC,
10/7/2017 12:00 AM UTC,
10/8/2017 12:00 AM UTC,
10/9/2017 12:00 AM UTC,1575793.99
10/10/2017 12:00 AM UTC,5089325.19973
10/11/2017 12:00 AM UTC,3796955.0
10/12/2017 12:00 AM UTC,9252907.3219
10/13/2017 12:00 AM UTC,524169.0
10/15/2017 12:00 AM UTC,
10/16/2017 12:00 AM UTC,2508056.93
10/17/2017 12:00 AM UTC,2441360.0
10/18/2017 12:00 AM UTC,12595400.9214
10/19/2017 12:00 AM UTC,91575.0
10/20/2017 12:00 AM UTC,73215.824
10/21/2017 12:00 AM UTC,
10/22/2017 12:00 AM UTC,
10/23/2017 12:00 AM UTC,19420607.102
10/24/2017 12:00 AM UTC,25964846.6113
10/25/2017 12:00 AM UTC,1939277.5
10/26/2017 12:00 AM UTC,8554405.87110003
10/27/2017 12:00 AM UTC,6853836.613
10/28/2017 12:00 AM UTC,
10/29/2017 12:00 AM UTC,
10/30/2017 12:00 AM UTC,
10/31/2017 12:00 AM UTC,340090.01
11/1/2017 12:00 AM UTC,4297228.53262
11/2/2017 12:00 AM UTC,6520460.75
11/3/2017 12:00 AM UTC,9938598.5285
11/4/2017 12:00 AM UTC,1300.0
11/5/2017 12:00 AM UTC,
11/6/2017 12:00 AM UTC,1247719.97
11/7/2017 12:00 AM UTC,3875179.0595
11/8/2017 12:00 AM UTC,2123685.825
11/9/2017 12:00 AM UTC,608209.08
11/10/2017 12:00 AM UTC,4829348.0
11/11/2017 12:00 AM UTC,
11/13/2017 12:00 AM UTC,158750.0
11/14/2017 12:00 AM UTC,905342.867
11/15/2017 12:00 AM UTC,3870579.59312
11/16/2017 12:00 AM UTC,8502670.05
11/17/2017 12:00 AM UTC,20475.0
11/18/2017 12:00 AM UTC,
11/19/2017 12:00 AM UTC,25210.5
11/20/2017 12:00 AM UTC,2463111.52446
11/21/2017 12:00 AM UTC,1737845.438
11/22/2017 12:00 AM UTC,13200.0
11/23/2017 12:00 AM UTC,
11/24/2017 12:00 AM UTC,
11/25/2017 12:00 AM UTC,
11/26/2017 12:00 AM UTC,
11/27/2017 12:00 AM UTC,3500.0
11/28/2017 12:00 AM UTC,4591686.5
11/29/2017 12:00 AM UTC,4378258.918
11/30/2017 12:00 AM UTC,186160.0
12/1/2017 12:00 AM UTC,2015325.598
12/2/2017 12:00 AM UTC,2431574.05
12/5/2017 12:00 AM UTC,5692805.1502
12/6/2017 12:00 AM UTC,100140.0
12/7/2017 12:00 AM UTC,1318433.02
12/8/2017 12:00 AM UTC,5007718.0
12/9/2017 12:00 AM UTC,
12/10/2017 12:00 AM UTC,
12/11/2017 12:00 AM UTC,87831.0
12/12/2017 12:00 AM UTC,310005.31
12/13/2017 12:00 AM UTC,1078411.05
12/14/2017 12:00 AM UTC,8870458.4536
12/15/2017 12:00 AM UTC,1803992.114
12/16/2017 12:00 AM UTC,
12/17/2017 12:00 AM UTC,
12/18/2017 12:00 AM UTC,
12/19/2017 12:00 AM UTC,3220376.022
12/20/2017 12:00 AM UTC,1541093.5
12/21/2017 12:00 AM UTC,121875.0
