Date,Amount
2019-08-15 0:00:00,3445
2019-08-16 0:00:00,2737
2019-08-17 0:00:00,544
2019-08-18 0:00:00,653
2019-08-19 0:00:00,3868
2019-08-20 0:00:00,4572
2019-08-21 0:00:00,4194
2019-08-22 0:00:00,4008
2019-08-23 0:00:00,3519
2019-08-24 0:00:00,662
2019-08-25 0:00:00,1007
2019-08-26 0:00:00,4198
2019-08-27 0:00:00,3530
2019-08-28 0:00:00,4711
2019-08-29 0:00:00,4153
2019-08-30 0:00:00,2281
2019-08-31 0:00:00,849
2019-09-01 0:00:00,1007
2019-09-02 0:00:00,1197
2019-09-03 0:00:00,4290
2019-09-04 0:00:00,5032
2019-09-05 0:00:00,4653
2019-09-06 0:00:00,3767
2019-09-07 0:00:00,815
2019-09-08 0:00:00,925
2019-09-09 0:00:00,5995
2019-09-10 0:00:00,5385
2019-09-11 0:00:00,5585
2019-09-12 0:00:00,5308
2019-09-13 0:00:00,4243
2019-09-14 0:00:00,608
2019-09-15 0:00:00,783
2019-09-16 0:00:00,3964
2019-09-17 0:00:00,4976
2019-09-18 0:00:00,5094
2019-09-19 0:00:00,4834
2019-09-20 0:00:00,4114
2019-09-21 0:00:00,701
2019-09-22 0:00:00,781
2019-09-23 0:00:00,7404
2019-09-24 0:00:00,6015
2019-09-25 0:00:00,5023
2019-09-26 0:00:00,4568
2019-09-27 0:00:00,3277
2019-09-28 0:00:00,711
2019-09-29 0:00:00,686
2019-09-30 0:00:00,4221
2019-10-01 0:00:00,3686
2019-10-02 0:00:00,3215
2019-10-03 0:00:00,3075
2019-10-04 0:00:00,2472
2019-10-05 0:00:00,652
2019-10-06 0:00:00,814
2019-10-07 0:00:00,4429
2019-10-08 0:00:00,4078
2019-10-09 0:00:00,3436
2019-10-10 0:00:00,3741
2019-10-11 0:00:00,3386
2019-10-12 0:00:00,481
2019-10-13 0:00:00,555
2019-10-14 0:00:00,2778
2019-10-15 0:00:00,3595
2019-10-16 0:00:00,4635
2019-10-17 0:00:00,3706
2019-10-18 0:00:00,3532
2019-10-19 0:00:00,413
2019-10-20 0:00:00,575
2019-10-21 0:00:00,4532
2019-10-22 0:00:00,4238
2019-10-23 0:00:00,4805
2019-10-24 0:00:00,3466
2019-10-25 0:00:00,2770
2019-10-26 0:00:00,456
2019-10-27 0:00:00,560
2019-10-28 0:00:00,4147
2019-10-29 0:00:00,4638
2019-10-30 0:00:00,3893
2019-10-31 0:00:00,3167
2019-11-01 0:00:00,2749
2019-11-02 0:00:00,559
2019-11-03 0:00:00,656
2019-11-04 0:00:00,3038
2019-11-05 0:00:00,4240
2019-11-06 0:00:00,4283
2019-11-07 0:00:00,3772
2019-11-08 0:00:00,3734
2019-11-09 0:00:00,653
2019-11-10 0:00:00,525
2019-11-11 0:00:00,5008
2019-11-12 0:00:00,4543
2019-11-13 0:00:00,5058
2019-11-14 0:00:00,5633
2019-11-15 0:00:00,2910
2019-11-16 0:00:00,622
2019-11-17 0:00:00,714
2019-11-18 0:00:00,4399
2019-11-19 0:00:00,4629
2019-11-20 0:00:00,5227
2019-11-21 0:00:00,3574
2019-11-22 0:00:00,3391
2019-11-23 0:00:00,548
2019-11-24 0:00:00,598
2019-11-25 0:00:00,3673
2019-11-26 0:00:00,3758
2019-11-27 0:00:00,2618
2019-11-28 0:00:00,549
