id,avg_price,avg_cpm,zip_code,zip_code_id,lat,lon,size,price,rate_card_price,floor_price,cpm,impressions,supplier_id,supplier_face_id
69783,200.0,0.78,4035,38416,35.10307,-106.51517,5' x 11',200.0,240.0,,0.78,257924,39,25221
159159,675.0,2.75,4031,30678,41.28472,-96.01944,"10' 6"" x 22' 9""",675.0,810.0,,2.75,245648,39,50672
478558,500.0,8.1,4013,13415,33.48096,-81.98297,"10' 6"" x 22' 9""",500.0,600.0,,8.1,61752,39,21225
198264,4560.0,5.77,4006,39523,34.168967,-118.537041,14' x 48',4560.0,5700.0,,5.77,789980,28,0000836B
182164,900.0,4.22,4031,30870,40.75633,-96.65349,"10' 6"" x 22' 9""",900.0,1080.0,,4.22,213284,39,9612
198258,4239.58,9.18,4006,39295,33.838233,-118.308401,14' x 48',4250.0,6000.0,,9.2,462016,28,0000724B
507905,1000.0,2.14,4012,15381,28.838005,-82.048295,14' x 48',1000.0,1200.0,,2.14,468296,39,3490
142054,468.0,1.11,4001,15547,33.63214,-86.68523,"10' 6"" x 22' 9""",468.0,562.0,,1.11,420696,39,4451
230338,1200.0,4.01,4039,19962,39.191255,-84.59895,"10' 6"" x 22' 9""",1200.0,1440.0,,4.01,299460,39,1084
198446,3040.0,5.0,4006,39161,33.94136,-118.37834,14' x 48',3040.0,3800.0,,5.0,607736,28,0061006B
158739,1000.0,3.99,4045,12362,33.99744,-81.06893,"10' 6"" x 22' 9""",1000.0,1200.0,,3.99,250640,39,2097
269948,1519.0,2.69,4001,15890,32.36717,-86.06473,14' x 48',1519.0,1823.0,,2.69,565296,39,77755
494200,500.0,4.5,4042,6829,41.24767,-76.99617,"10' 6"" x 22' 9""",500.0,600.0,,4.5,111032,39,21165
158480,3000.0,3.66,4048,34182,32.74989,-97.681175,14' x 48',3000.0,3600.0,,3.66,819656,39,2585
251783,850.0,2.33,4032,39062,39.52524,-119.82576,"10' 6"" x 22' 9""",850.0,1020.0,,2.33,364224,39,2951
496532,4500.0,2.08,4032,38941,36.14259,-115.09201,14' x 48',4500.0,5400.0,,2.08,2165348,39,126
182189,700.0,0.43,4051,9436,37.55953,-77.41655,14' x 48',700.0,700.0,,0.43,1615864,39,93582
70884,500.0,3.77,4013,12992,34.1341,-84.5864,"10' 6"" x 22' 9""",500.0,600.0,,3.77,132792,39,28902
339360,2331.46,12.56,4042,7577,40.02827167,-75.6256931999999,"10' 6"" x 36'",2331.4578,2910.0,,12.56,185666,330,602
232623,1200.0,14.47,4039,19947,39.215845,-84.53047,"10' 6"" x 22' 9""",1200.0,1440.0,,14.47,82904,39,2484
71020,200.0,3.19,4026,20553,41.75266,-86.81128,"10' 6"" x 22' 9""",400.0,480.0,,6.38,62712,39,3953
496182,3500.0,7.38,4006,40543,34.83424,-118.17004,14' x 48',3500.0,4200.0,,7.38,474196,39,1952
232693,1200.0,11.95,4039,19946,39.155393,-84.540168,"10' 6"" x 22' 9""",1200.0,1440.0,,11.95,100384,39,1639
234529,3500.0,8.59,4039,19953,39.07266,-84.35787,14' x 48',3500.0,4200.0,,8.59,407456,39,2450
487067,1265.0,1.26,4013,13375,34.957976,-85.180565,14' x 48',1265.0,1518.0,,1.26,1001876,39,77573
496178,3250.0,11.91,4006,40543,34.86433,-118.16146,14' x 48',3250.0,3900.0,,11.91,272988,39,2024
196177,700.0,1.51,4012,14099,30.173097,-85.593271,"10' 6"" x 22' 9""",700.0,840.0,,1.51,463044,39,4962
142245,1528.0,5.98,4013,13604,32.070995,-81.107295,14' x 48',1528.0,1834.0,,5.98,255384,39,60471
159776,1100.0,5.73,4042,6269,42.01183,-80.29817,"10' 6"" x 22' 9""",1100.0,1320.0,,5.73,191924,39,21035
93717,550.0,3.38,4028,17264,34.24903,-89.01768,"10' 6"" x 22' 9""",550.0,660.0,,3.38,162704,39,90123
159841,1295.0,4.74,4051,9434,37.55434,-77.48454,"10' 6"" x 22' 9""",1295.0,1554.0,,4.74,273080,39,431
478976,900.0,5.41,4048,35475,26.29348,-97.9995,"10' 6"" x 22' 9""",900.0,1080.0,,5.41,166264,39,46118
196404,300.0,6.68,4042,7137,41.114217,-75.554002,"5' 2"" x 11'",300.0,360.0,,6.68,44904,39,2792
170287,620.0,3.82,4030,26621,45.76182,-108.544395,"10' 6"" x 22' 9""",620.0,744.0,,3.82,162420,39,67681
506589,270.0,4.51,4048,34110,31.512993,-94.126833,10' x 24',270.0,324.0,,4.51,59808,39,4522
71164,750.0,1.27,4018,20583,41.607986,-87.410574,14' x 48',1000.0,1200.0,,1.69,591764,39,3039
200052,4759.42,9.12,4006,39508,34.201268,-118.536566,14' x 48',4969.324,6000.0,,9.52,521820,28,0000168B
142718,1200.0,1.46,4001,15479,33.543365,-86.598135,14' x 48',1200.0,1440.0,,1.46,820820,39,9365
99439,425.0,10.38,4016,37318,43.14371,-115.70532,"10' 6"" x 22' 9""",425.0,510.0,,10.38,40952,39,11591
93736,2250.0,5.22,4036,5295,43.203028,-77.647595,"10' 6"" x 22' 9""",2250.0,2700.0,,5.22,431016,39,60810
143003,1200.0,1.16,4001,15479,33.560885,-86.56368,14' x 48',1200.0,1440.0,,1.16,1030148,39,13086
143010,520.0,4.14,4001,15566,33.587708,-86.65815,"10' 6"" x 22' 9""",520.0,624.0,,4.14,125508,39,1443
104632,2500.0,3.35,4016,37421,47.712261,-116.953117,14' x 48',2500.0,3000.0,,3.35,746664,39,21202
230945,1200.0,32.86,4039,19949,39.11647,-84.440005,"10' 6"" x 22' 9""",1200.0,1440.0,,32.86,36520,39,1151
271460,400.0,4.77,4042,6230,41.4168,-79.779,5' x 11',400.0,480.0,,4.77,83944,39,40442
271419,2535.0,2.84,4054,10506,39.48056,-77.97984,12' x 50',2535.0,3042.0,,2.84,893372,39,7020
143822,3250.0,9.7,4006,40543,34.83285,-118.16987,14' x 48',3250.0,3900.0,,9.7,335216,39,1941
201833,4242.58,8.87,4006,39161,33.943914,-118.378292,14' x 48',4300.0,6600.0,,8.99,478216,28,0061005B
114176,3000.0,3.27,4053,43247,47.65717,-117.31783,14' x 48',3000.0,3600.0,,3.27,918284,39,22492
144117,200.0,1.43,4047,16615,36.58805,-82.57083,5' x 11',200.0,240.0,,1.43,139520,39,30115
272172,850.0,2.96,4012,14135,30.75784,-85.28221,"10' 6"" x 36'",850.0,1020.0,,2.96,287432,39,20354
482999,682.0,3.38,4022,31554,30.30104,-93.20819,"10' 6"" x 22' 9""",682.0,818.0,,3.38,201880,39,9598
318748,910.0,1.07,4022,31479,30.1829,-91.99022,12' x 40',910.0,1092.0,,1.07,851028,39,14018
318744,530.0,0.86,4022,31489,30.1018,-91.94158,12' x 40',530.0,636.0,,0.86,617512,39,14038
496179,950.0,20.94,4006,40543,34.85858,-118.16191,"10' 6"" x 22' 9""",950.0,1140.0,,20.94,45360,39,1992
272697,600.0,3.76,4028,17493,32.76268,-89.14269,"10' 6"" x 22' 9""",600.0,720.0,,3.76,159576,39,43006
319009,500.0,11.5,4019,23439,41.78971,-92.06703,"10' 6"" x 22' 9""",500.0,600.0,,11.5,43464,39,11273
184002,2800.0,2.23,4055,23678,43.2453,-88.1823,14' x 48',2800.0,3360.0,,2.23,1256768,39,2136
161003,2450.0,6.15,4031,23222,41.21503,-95.82233,16' x 52',2450.0,2940.0,,6.15,398112,39,60641
104618,400.0,2.09,4035,38376,35.03332,-106.11441,14' x 48',400.0,480.0,,2.09,190980,39,5562
494020,2833.0,1.54,4026,21527,42.371945,-83.05856,14' x 48',2833.0,3400.0,,1.54,1841632,39,8677
274088,1200.0,5.7,4053,43145,47.65695,-117.17105,10' x 30',1200.0,1440.0,,5.7,210664,39,24191
274393,2000.0,3.98,4053,43243,47.71443,-117.41148,14' x 48',2000.0,2400.0,,3.98,503020,39,24345
162429,2100.0,15.16,4051,9229,38.03395,-78.460445,"10' 6"" x 22' 9""",2100.0,2520.0,,15.16,138492,39,20065
500297,5500.0,3.3,4006,39070,39.46258,-119.78514,14' x 48',5500.0,6600.0,,3.3,1664904,39,26132
163193,875.0,5.5,4017,18536,37.03457,-88.5341,"10' 6"" x 22' 9""",875.0,1050.0,,5.5,158988,39,2402
510759,1167.0,16.7,4006,40403,35.14918,-119.46553,"10' 6"" x 22' 9""",1167.0,1400.0,,16.7,69888,39,38331
275061,1500.0,12.08,4039,19519,41.20949,-81.841,"10' 6"" x 22' 9""",1500.0,1800.0,,12.08,124196,39,81492
322364,750.0,40.17,4001,15788,34.76973,-86.48436,"10' 6"" x 22' 9""",750.0,900.0,,40.17,18672,39,91046
163897,1000.0,4.42,4045,12374,34.02986,-81.04125,"10' 6"" x 22' 9""",1000.0,1200.0,,4.42,226396,39,1351
2102183,5043.64,14.02,4024,8533,39.36212243,-76.78137124,"12' 3"" x 24' 6""",5043.64,6300.0,,14.02,359873,36,038450
496185,4000.0,11.49,4006,40501,35.06095,-118.17622,"10' 6"" x 36'",4000.0,4800.0,,11.49,348140,39,1812
204476,200.0,2.43,4042,6353,40.43318,-78.36563,5' x 11',200.0,240.0,,2.43,82404,39,43029
145653,750.0,6.14,4013,13608,32.029702,-81.115989,"10' 6"" x 22' 9""",750.0,900.0,,6.14,122140,39,19171
478604,1076.19,9.74,4021,17923,37.64624,-84.7838,"10' 6"" x 22' 9""",800.0,960.0,,7.24,110464,39,2192
166160,1380.0,5.73,4017,23877,42.525395,-88.97957,12' x 50',1380.0,1656.0,,5.73,240772,39,35192
276168,2200.0,3.16,4047,16800,35.150113,-89.795782,14' x 48',2200.0,2640.0,,3.16,696580,39,13743
76585,200.0,2.85,4037,12243,35.663954,-82.582995,5' x 11',200.0,240.0,,2.85,70232,39,51453
256556,675.0,1.85,4051,10038,37.33789,-79.23919,"10' 6"" x 22' 9""",675.0,810.0,,1.85,365596,39,40702
145990,900.0,7.55,4012,14443,28.13584,-80.66438,"10' 6"" x 22' 9""",900.0,1080.0,,7.55,119212,39,40834
277831,4900.0,3.24,4020,29903,39.02963,-94.68903,10' x 40',4900.0,5600.0,,3.24,1511580,39,9002
277456,630.0,0.99,4022,31488,30.320919,-91.807909,10' x 40',630.0,756.0,,0.99,636712,39,13147
1429134,1250.0,5.21,4001,15759,34.74776,-86.78068,10' x 31',1250.0,1500.0,,5.21,239784,39,292
166246,1000.0,2.68,4045,12377,34.05215,-80.94525,14' x 48',1000.0,1200.0,,2.68,373380,39,8471
146585,710.0,3.86,4048,35056,29.98076,-93.96416,"10' 6"" x 22' 9""",710.0,852.0,,3.86,184168,39,9022
