id,device_id,programmatic_publisher_id,cpm,cost,display_time,created_at,lat,lon,creative_height,creative_width
300188270,lamar.com:272.008201,62,4.0,0.13655396824,1579272173,2020-01-17 15:09:08.929044,41.316087,-72.904694,400,1400
300188271,lamar.com:207.063054,62,8.0,0.024736507936,1579271123,2020-01-17 15:09:08.929044,40.092512,-76.14167,400,840
300188272,broadsign.com:160564427,56,5.5,0.0218480127855,1579271374,2020-01-17 15:09:08.929044,29.813255,-95.311523,768,1366
300188273,lamar.com:421.000045,62,8.0,0.016508783072,1579272305,2020-01-17 15:09:08.929044,41.48583,-81.700288,400,840
300188274,broadsign.com:88959368,56,5.5,0.021361717069,1579274408,2020-01-17 15:09:08.929044,33.909451,-84.352089,768,1366
300188275,lamar.com:038.020453,62,4.0,0.06990857144,1579271323,2020-01-17 15:09:08.929044,37.010067,-76.397874,400,1400
300188276,broadsign.com:168187964,56,5.5,0.021361717069,1579272328,2020-01-17 15:09:08.929044,35.032013,-78.92778,768,1366
300188277,broadsign.com:169090410,56,5.5,0.0218480127855,1579274488,2020-01-17 15:09:08.929044,34.079201,-80.94976,768,1366
300188278,lamar.com:277.000712,62,8.0,0.046953650792,1579271497,2020-01-17 15:09:08.929044,39.39,-84.50865,400,1400
300188279,lamar.com:209.001308,62,8.0,0.012867142856,1579271829,2020-01-17 15:09:08.929044,40.047694,-79.076082,400,840
300188280,lamar.com:421.000669,62,6.0,0.09388063494,1579271391,2020-01-17 15:09:08.929044,41.08805556,-81.58361111,400,1400
300188281,broadsign.com:298429189,85,8.0,0.00544,1579271377,2020-01-17 15:09:08.929044,40.86484,-73.129353,1920,1080
300188282,lamar.com:430.764101,62,6.0,0.031756825398,1579271555,2020-01-17 15:09:08.929044,34.53277,-82.66406,400,1200
300188283,lamar.com:257.001285,62,8.0,0.018928148152,1579271967,2020-01-17 15:09:08.929044,36.185662,-115.205895,400,1000
300188284,lamar.com:047.060064,62,8.0,0.021219047616,1579271188,2020-01-17 15:09:08.929044,32.39981,-90.11074,400,840
300188285,lamar.com:424.026215,62,6.0,0.02985015873,1579272294,2020-01-17 15:09:08.929044,39.519767,-119.739958,400,1400
300188286,lamar.com:136.050705,62,4.0,0.04035132276,1579271571,2020-01-17 15:09:08.929044,35.4104085,-82.5193735,400,1400
300188000,broadsign.com:167654185,56,5.5,0.021361717069,1579271930,2020-01-17 15:09:08.929044,41.86124,-72.358017,768,1366
300188001,lamar.com:419.051182,62,8.0,0.013914920632,1579272245,2020-01-17 15:09:08.929044,43.75495,-88.44906,400,840
300188002,broadsign.com:121884517,56,5.5,0.0228923328755,1579275620,2020-01-17 15:09:08.929044,29.5772,-81.213303,768,1366
300188003,lamar.com:274.001808,62,8.0,0.061838888888,1579271353,2020-01-17 15:09:08.929044,42.138189,-71.219735,400,1400
300188004,lamar.com:210.050305,62,6.0,0.0620242857,1579271942,2020-01-17 15:09:08.929044,40.12095,-74.88751,600,600
300188005,lamar.com:407.035240,62,8.0,0.046126984128,1579271779,2020-01-17 15:09:08.929044,45.4967,-122.89499,400,1400
300188006,lamar.com:422.006065,62,8.0,0.024263280424,1579272534,2020-01-17 15:09:08.929044,41.5859541,-93.64808857,400,1400
300188007,lamar.com:230.010004,62,8.0,0.017328253968,1579271888,2020-01-17 15:09:08.929044,37.08453,-94.54671,400,840
300188008,lamar.com:210.090015,62,4.0,0.18797492064,1579271865,2020-01-17 15:09:08.929044,39.96377,-75.1846,400,1400
300188009,broadsign.com:100857779,56,5.5,0.0183824488485,1579274795,2020-01-17 15:09:08.929044,40.733183,-73.733605,768,1366
300188010,broadsign.com:129049478,56,5.5,0.0218480127855,1579272921,2020-01-17 15:09:08.929044,41.626202,-87.851486,768,1366
300188011,lamar.com:047.060026,62,8.0,0.018251428568,1579271568,2020-01-17 15:09:08.929044,32.30334,-90.17084,400,840
300188012,lamar.com:210.090004,62,4.0,0.19105142856,1579271458,2020-01-17 15:09:08.929044,39.98307,-75.09784,400,1400
300188013,broadsign.com:99589612,56,5.5,0.0218480127855,1579273734,2020-01-17 15:09:08.929044,36.673616,-83.14102,768,1366
300188014,broadsign.com:292361811,85,7.0,0.01106,1579272519,2020-01-17 15:09:08.929044,35.152199,-80.831902,1920,1080
300188015,broadsign.com:79985883,56,5.5,0.0218480127855,1579274214,2020-01-17 15:09:08.929044,42.939999,-72.287697,768,1366
300188016,lamar.com:249.090031,62,8.0,0.017128571432,1579271749,2020-01-17 15:09:08.929044,41.55160706,-88.12039375,400,840
300188017,lamar.com:002.011123,62,4.0,0.03822,1579272059,2020-01-17 15:09:08.929044,30.73331,-88.11893,400,1400
300188018,broadsign.com:77255654,56,5.5,0.0218480127855,1579275937,2020-01-17 15:09:08.929044,42.5736,-71.99,768,1366
300188019,broadsign.com:103281057,56,5.5,0.0218480127855,1579277148,2020-01-17 15:09:08.929044,33.843697,-84.428871,768,1366
300188020,broadsign.com:169070137,56,5.5,0.0218480127855,1579277978,2020-01-17 15:09:08.929044,32.244253,-110.85676,768,1366
300188021,broadsign.com:290603700,85,6.0,0.00174,1579271146,2020-01-17 15:09:08.929044,43.5112,-96.775803,1920,1080
300188022,broadsign.com:87733427,56,5.5,0.0218480127855,1579271853,2020-01-17 15:09:08.929044,32.307308,-95.30646,768,1366
300188023,broadsign.com:167578096,56,5.5,0.0218480127855,1579275977,2020-01-17 15:09:08.929044,32.360475,-80.87273,768,1366
300188024,broadsign.com:168611410,56,5.5,0.0218480127855,1579272782,2020-01-17 15:09:08.929044,41.504025,-88.0689,768,1366
300188025,lamar.com:009.001005,62,8.0,0.040899682536,1579272310,2020-01-17 15:09:08.929044,39.731383,-84.078115,400,1400
300188026,lamar.com:405.050619,62,4.0,0.015633650792,1579272151,2020-01-17 15:09:08.929044,39.49076,-87.4138,400,840
300188027,lamar.com:063.064631,62,4.0,0.02004095238,1579271242,2020-01-17 15:09:08.929044,32.50847,-92.1212,400,840
300188028,lamar.com:038.020453,62,4.0,0.06990857144,1579272148,2020-01-17 15:09:08.929044,37.010067,-76.397874,400,1400
300188029,lamar.com:257.001160,62,4.0,0.16219703704,1579272490,2020-01-17 15:09:08.929044,36.06669,-115.21507,400,1400
300188030,lamar.com:277.000720,62,4.0,0.06824380952,1579271631,2020-01-17 15:09:08.929044,39.16717,-84.46393,400,1400
300188031,lamar.com:280.059004,62,8.0,0.024214179896,1579272241,2020-01-17 15:09:08.929044,39.03625,-95.76172,400,840
300188032,broadsign.com:112140686,56,5.5,0.0218480127855,1579271736,2020-01-17 15:09:08.929044,38.6138,-76.600197,768,1366
300188033,lamar.com:246.020475,62,8.0,0.05825,1579271994,2020-01-17 15:09:08.929044,41.47142,-90.45844,400,1400
300188034,lamar.com:244.001665,62,8.0,0.039065873016,1579271267,2020-01-17 15:09:08.929044,41.227394,-96.00508,400,840
300188035,broadsign.com:83402206,56,5.5,0.02187431279,1579276346,2020-01-17 15:09:08.929044,35.654337,-78.82776,768,1366
300188036,lamar.com:421.000521,62,8.0,0.062533756616,1579271968,2020-01-17 15:09:08.929044,41.50003,-81.69682,400,1400
300188037,broadsign.com:297958142,85,8.0,0.00352,1579272201,2020-01-17 15:09:08.929044,40.86484,-73.129353,1920,1080
300188038,lamar.com:257.001295,62,4.0,0.12365592592,1579272060,2020-01-17 15:09:08.929044,36.214066,-115.126155,400,1400
